Route Group,First Mix (%),Business Mix (%),Premium Economy Mix (%),Economy Mix (%),First Lounge (%),Club World Lounge (%),Galleries Club (%),Galleries Lounge – Eco Gold (%),Total Lounge Eligible (%)
Africa (Long-Haul),6.0,39.7,7.9,46.4,6.0,39.7,7.9,7.0,60.6
Asia Pacific (Long-Haul),6.9,33.0,14.3,45.8,6.9,33.0,14.3,6.9,61.1
Australia & Pacific (Ultra Long-Haul),14.3,28.6,0.0,57.1,14.3,28.6,0.0,8.6,51.5
Caribbean & Latin America (Long-Haul),4.5,43.6,15.5,36.4,4.5,43.6,15.5,5.5,69.1
Europe (Short/Medium-Haul),0.6,29.9,2.0,67.4,0.6,29.9,2.0,3.4,35.9
Indian Subcontinent (Long-Haul),5.6,24.1,22.2,48.1,5.6,24.1,22.2,7.2,59.1
Middle East (Long-Haul),9.5,33.3,15.5,41.7,9.5,33.3,15.5,6.3,64.6
North America (Long-Haul),6.6,28.6,14.7,50.2,6.6,28.6,14.7,7.5,57.4
Other / Unclassified,6.2,30.4,9.0,54.5,6.2,30.4,9.0,2.7,48.3
